epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,271.952,1.07998,3.17981,1.14913,0.94464,0.87353,0.95816,0.7545,0.75761,1.76235,0.91144,0.00198824,0.000662745,0.00198824,0.000662745,0.00198824,0.000662745,0.00198824,0.000662745
2,498.214,0.81102,1.45445,0.91473,0.97959,0.98812,0.99294,0.82004,0.67905,1.3079,0.84543,0.00394875,0.00131625,0.00394875,0.00131625,0.00394875,0.00131625,0.00394875,0.00131625
3,709.681,0.79424,1.18537,0.89906,0.98245,0.98807,0.99219,0.83026,0.65719,1.1113,0.83451,0.00586967,0.00195656,0.00586967,0.00195656,0.00586967,0.00195656,0.00586967,0.00195656
4,919.045,0.76266,1.01334,0.88698,0.99112,0.98484,0.99192,0.81112,0.69152,0.97995,0.83447,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,1127.87,0.75725,0.88763,0.88877,0.99078,0.98824,0.99289,0.83273,0.6354,0.83507,0.82896,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,1339.07,0.74536,0.80473,0.88187,0.99122,0.99666,0.99309,0.81948,0.68548,0.77566,0.83461,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,1545.47,0.7228,0.73177,0.88259,0.9854,0.99273,0.99225,0.83219,0.63805,0.70226,0.83388,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,1750.9,0.69776,0.69208,0.88085,0.99301,0.99412,0.9933,0.83373,0.64355,0.65578,0.8305,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,1959.33,0.70202,0.65795,0.88548,0.98248,0.98974,0.99218,0.84058,0.62107,0.61838,0.83328,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,2160.42,0.70391,0.62156,0.88506,0.98198,0.99118,0.98695,0.82876,0.62983,0.56711,0.8337,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
